"","blue","green","nir","pixelCount","red","sat","swir1","swir2","date","chl_a","clouds","landsat_id","pwater","COMID","lagoslakeid","lake_lat_decdeg","lake_lon_decdeg","lake_elevation_m","ws_zoneid","hu12_zoneid","Tmean8110Cat","ClayCat","SandCat","OmCat","PermCat","RckdepCat","BFICat","CatAreaSqKm","PctAg2006Slp10Cat","NPDESDensCat","HydrlCondCat","PctImp2006Cat","PctUrbLo2006Cat","PctUrbMd2006Cat","PctUrbHi2006Cat","PctDecid2006Cat","PctConif2006Cat","PctMxFst2006Cat","PctCrop2006Cat","PctWdWet2006Cat","PctHbWet2006Cat","KffactCat","NO3_2008Cat","RunoffCat","WtDepCat","WetIndexCat","geometry","daily_temp","weatherID","number","wind","site_id","mean_temp_14_day","mean_temp_7_day"
"1",182,245,210,30,177,7,161,133,2013-07-18,2.96,0,"LE07_L1TP_031032_20130718_20160910_01_T1",93,11711907,367592,40.08523,-102.27547,1087.4,367592,"hu12_64636",11,11,61,0,27,150,56,1,0,0,3.743906228,6,0,0,0,0,0,0,12,0,0,0.2,5,6,136,869,"c(-102.275187, 40.084233)",24.84375,"nldas_x181_y120",15904,5.159179688,"133190387",25.0135416666667,25.13671875
"2",813,1118,592,137,1018,7,92,61,2007-07-18,41.6,0,"LE07_L1TP_031033_20070718_20160922_01_T1",85,11699074,367582,39.61367,-102.19774,1119.7,367582,"hu12_64718",11,17,36,1,12,116,44.9358263,19,0.014475271,0,12.72651962,6,0,0,0,0,0,0,6,13,7,0.2,5,2,150,1282,"c(-102.197629268, 39.6134944891)",26.9921875,"nldas_x182_y116",13712,2.454101563,"145311386",25.9869791666667,26.0087890625
"3",199,366,140,24,247,8,96,83,2015-09-02,33.15,1.05,"LC08_L1TP_031034_20150902_20170225_01_T1",89,21105021,378723,37.4869,-102.38132,1227.7,378723,"hu12_21147",12,28,17,0,3,152,15,2,0.095057034,0,0.233262002,6,0,0,0,0,0,0,38,1,1,0.4,3,0,183,1030,"c(-102.37735, 37.4879)",24.921875,"nldas_x180_y99",16680,1.451171875,"133144464",24.4848958333333,25.216796875
"4",161,274.4709544,253.5120482,62,181,8,52,36,2016-08-03,2.2,24.61,"LC08_L1TP_031034_20160803_20170222_01_T1",82,1594383,376130,38.22422,-102.63543,1157.9,376130,"hu12_20412",12,25,21,1,4,152,19.5729128,5,0,0,0.006021,0,0,0,0,0,0,0,60,5,18,0.3,3,5,180,858,"c(-102.6338783, 38.22016667)",26.625,"nldas_x178_y105",17016,2.327148438,"72569217",26.4760416666667,26.4228515625
"5",463,700,259,138,398,5,146,116,2007-06-24,9.223,0,"LT05_L1TP_031034_20070624_20160907_01_T1",93,1594371,376372,38.30516,-102.74958,1182,376372,"hu12_20411",12,24,29,0,4,152,20.66539159,23,0,0,0.003363098,0,0,0,0,0,0,0,27,0,12,0.3,3,5,183,876,"c(-102.755433393, 38.2993370549)",25,"nldas_x177_y106",13688,2.905273438,"72575683",23.4484375,24.1962890625
"6",940,1350,1061,137,1296,5,359,286,2007-07-17,41.6,9,"LT05_L1TP_032032_20070717_20160907_01_T1",85,11699074,367582,39.61367,-102.19774,1119.7,367582,"hu12_64718",11,17,36,1,12,116,44.9358263,19,0.014475271,0,12.72651962,6,0,0,0,0,0,0,6,13,7,0.2,5,2,150,1282,"c(-102.197629268, 39.6134944891)",26.359375,"nldas_x182_y116",13711,4.403320313,"145311386",25.8776041666667,25.7470703125
"7",424,487,379,30,422,8,375,319,2013-07-17,2.96,9.41,"LC08_L1TP_032032_20130717_20170309_01_T1",93,11711907,367592,40.08523,-102.27547,1087.4,367592,"hu12_64636",11,11,61,0,27,150,56,1,0,0,3.743906228,6,0,0,0,0,0,0,12,0,0,0.2,5,6,136,869,"c(-102.275187, 40.084233)",24.6796875,"nldas_x181_y120",15903,7.202148438,"133190387",24.9651041666667,25.14453125
"8",266,449,223,140,283,5,37,20,1995-08-01,25.2,0,"LT05_L1TP_032032_19950801_20160926_01_T1",96,3559986,360517,40.42243,-103.36175,1246.7,360517,"hu12_63633",10,7,77,0,28,152,54.10533206,231,0.010130331,0,121.7603969,4,0,0,0,0,0,0,3,0,1,0.1,4,6,183,915,"c(-103.3563288, 40.4202594)",22.796875,"nldas_x173_y123",9343,2.626953125,"126891781",24.1979166666667,24.1865234375
"9",277,485,260,138,280,5,61,57,1995-08-01,25.2,0,"LT05_L1TP_032032_19950801_20160926_01_T1",97,3559986,360517,40.42243,-103.36175,1246.7,360517,"hu12_63633",10,7,77,0,28,152,54.10533206,231,0.010130331,0,121.7603969,4,0,0,0,0,0,0,3,0,1,0.1,4,6,183,915,"c(-103.3563287, 40.4280373)",22.796875,"nldas_x173_y123",9343,2.626953125,"126891781",24.1979166666667,24.1865234375
"10",257,443,258,103,278,5,87,56,1995-08-01,18.6,0,"LT05_L1TP_032032_19950801_20160926_01_T1",97,3559986,360517,40.42243,-103.36175,1246.7,360517,"hu12_63633",10,7,77,0,28,152,54.10533206,231,0.010130331,0,121.7603969,4,0,0,0,0,0,0,3,0,1,0.1,4,6,183,915,"c(-103.3446616, 40.4366486)",22.796875,"nldas_x173_y123",9343,2.626953125,"126891781",24.1979166666667,24.1865234375
